"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AB","1011AB","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.377764,4.9056757,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AC","1011AC","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3774286,4.9083046,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AD","1011AD","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3767871,4.9046835,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AE","1011AE","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3754152,4.907486,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AG","1011AG","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3758711,4.9029178,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AH","1011AH","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3756873,4.9029288,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AJ","1011AJ","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3754327,4.902828,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AK","1011AK","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3746467,4.9038792,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AL","1011AL","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3688239,4.9019824,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AM","1011AM","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3741588,4.9048406,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AN","1011AN","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3740258,4.9050521,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AP","1011AP","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3739086,4.9052794,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AR","1011AR","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3737178,4.9056048,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AS","1011AS","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3734235,4.9061099,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AT","1011AT","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3732749,4.9063801,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AV","1011AV","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3730786,4.9067703,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AW","1011AW","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3729543,4.9069887,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AX","1011AX","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3740027,4.9044008,"Europe/Amsterdam","UTC+02:00"
"NL","NLD","Netherlands","Nederland","EU","Europe","1011 AZ","1011AZ","","Noord-Holland","North Holland","NL-NH","Amsterdam","Amsterdam","Amsterdam","Amsterdam","","","","",52.3733069,4.9056393,"Europe/Amsterdam","UTC+02:00"
