"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"NO","NOR","Norway","Norge","EU","Europe","1300","1300","","","Akershus","","","Bærum","","","","","","",59.8979,10.4906,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1301","1301","","","Akershus","","","Bærum","","","","","","",59.8979,10.4906,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1302","1302","","","Akershus","","","Bærum","","","","","","",59.8979,10.4906,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1303","1303","","","Akershus","","","Bærum","","","","","","",59.8979,10.4906,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1304","1304","","","Akershus","","","Bærum","","","","","","",59.8979,10.4906,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1305","1305","","","Akershus","","","Bærum","","","","","","",59.9149,10.5563,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1306","1306","","","Akershus","","","Bærum","","","","","","",59.8979,10.4906,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1307","1307","","","Akershus","","","Bærum","","","","","","",59.9005,10.6245,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1308","1308","","","Akershus","","","Bærum","","","","","","",59.928,10.6161,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1309","1309","","","Akershus","","","Bærum","","","","","","",59.9091,10.4957,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1311","1311","","","Akershus","","","Bærum","","","","","","",59.8886,10.5535,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1312","1312","","","Akershus","","","Bærum","","","","","","",59.884,10.4887,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1313","1313","","","Akershus","","","Bærum","","","","","","",59.9085,10.4739,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1314","1314","","","Akershus","","","Bærum","","","","","","",59.9085,10.4739,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1316","1316","","","Akershus","","","Bærum","","","","","","",59.9478,10.6182,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1317","1317","","","Akershus","","","Bærum","","","","","","",59.9418,10.5131,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1318","1318","","","Akershus","","","Bærum","","","","","","",59.9198,10.577,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1319","1319","","","Akershus","","","Bærum","","","","","","",59.9198,10.577,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1321","1321","","","Akershus","","","Bærum","","","","","","",59.9095,10.6046,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1322","1322","","","Akershus","","","Bærum","","","","","","",59.8994,10.5721,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1323","1323","","","Akershus","","","Bærum","","","","","","",59.8994,10.5721,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1324","1324","","","Akershus","","","Bærum","","","","","","",59.9088,10.629,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1325","1325","","","Akershus","","","Bærum","","","","","","",59.9088,10.629,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1326","1326","","","Akershus","","","Bærum","","","","","","",59.9088,10.629,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1327","1327","","","Akershus","","","Bærum","","","","","","",59.9088,10.629,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1328","1328","","","Akershus","","","Bærum","","","","","","",59.8994,10.5721,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1329","1329","","","Akershus","","","Bærum","","","","","","",59.9609,10.4829,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1330","1330","","","Akershus","","","Bærum","","","","","","",59.9005,10.6245,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1331","1331","","","Akershus","","","Bærum","","","","","","",59.9005,10.6245,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1332","1332","","","Akershus","","","Bærum","","","","","","",59.9445,10.6079,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1333","1333","","","Akershus","","","Bærum","","","","","","",59.9185,10.5062,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1334","1334","","","Akershus","","","Bærum","","","","","","",59.927,10.4887,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1335","1335","","","Akershus","","","Bærum","","","","","","",59.8801,10.6108,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1336","1336","","","Akershus","","","Bærum","","","","","","",59.8979,10.4906,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1337","1337","","","Akershus","","","Bærum","","","","","","",59.8929,10.5233,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1338","1338","","","Akershus","","","Bærum","","","","","","",59.8939,10.5157,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1339","1339","","","Akershus","","","Bærum","","","","","","",59.9085,10.4739,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1340","1340","","","Akershus","","","Bærum","","","","","","",59.9288,10.4407,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1341","1341","","","Akershus","","","Bærum","","","","","","",59.884,10.4887,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1342","1342","","","Akershus","","","Bærum","","","","","","",59.9049,10.5174,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1344","1344","","","Akershus","","","Bærum","","","","","","",59.9149,10.5563,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1346","1346","","","Akershus","","","Bærum","","","","","","",59.9049,10.5174,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1348","1348","","","Akershus","","","Bærum","","","","","","",59.927,10.4887,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1349","1349","","","Akershus","","","Bærum","","","","","","",59.9284,10.4726,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1350","1350","","","Akershus","","","Bærum","","","","","","",60.0266,10.4418,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1351","1351","","","Akershus","","","Bærum","","","","","","",59.9091,10.4957,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1352","1352","","","Akershus","","","Bærum","","","","","","",59.9185,10.5062,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1353","1353","","","Akershus","","","Bærum","","","","","","",59.9418,10.5131,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1354","1354","","","Akershus","","","Bærum","","","","","","",59.9431,10.4945,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1356","1356","","","Akershus","","","Bærum","","","","","","",59.9198,10.577,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1357","1357","","","Akershus","","","Bærum","","","","","","",59.9227,10.5901,"Europe/Oslo","UTC +1.0"
"NO","NOR","Norway","Norge","EU","Europe","1358","1358","","","Akershus","","","Bærum","","","","","","",59.928,10.6161,"Europe/Oslo","UTC +1.0"
