"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"NP","NPL","Nepal","नेपाल","AS","Asia","57000","57000","","","Province 1","","भोजपुर","Bhojpur","","","","","","",27.187984,87.049844,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","57001","57001","","","Province 1","","भोजपुर","Bhojpur","","","","","","",27.174304,87.093478,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","57002","57002","","","Province 1","","भोजपुर","Bhojpur","","","","","","",27.356714,87.135946,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","57003","57003","","","Province 1","","भोजपुर","Bhojpur","","","","","","",27.175733,87.040504,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","57004","57004","","","Province 1","","भोजपुर","Bhojpur","","","","","","",27.174304,87.093478,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","57005","57005","","","Province 1","","भोजपुर","Bhojpur","","","","","","",27.188455,87.182441,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","57006","57006","","","Province 1","","भोजपुर","Bhojpur","","","","","","",27.089688,87.152993,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","57008","57008","","","Province 1","","भोजपुर","Bhojpur","","","","","","",27.174304,87.093478,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","57009","57009","","","Province 1","","भोजपुर","Bhojpur","","","","","","",27.174304,87.093478,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","57010","57010","","","Province 1","","भोजपुर","Bhojpur","","","","","","",27.152096,86.978711,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","57011","57011","","","Province 1","","भोजपुर","Bhojpur","","","","","","",27.174304,87.093478,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","57012","57012","","","Province 1","","भोजपुर","Bhojpur","","","","","","",26.987663,87.117315,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","57013","57013","","","Province 1","","भोजपुर","Bhojpur","","","","","","",27.174304,87.093478,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","57014","57014","","","Province 1","","भोजपुर","Bhojpur","","","","","","",27.179933,87.135242,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","57015","57015","","","Province 1","","भक्तपुर","Bhojpur","","","","","","",27.702187,85.462119,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","56800","56800","","","Province 1","","धनकुटा","Dhankuta","","","","","","",26.980882,87.343853,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","56801","56801","","","Province 1","","धनकुटा","Dhankuta","","","","","","",26.972067,87.3436,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","56802","56802","","","Province 1","","धनकुटा","Dhankuta","","","","","","",26.879777,87.433345,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","56803","56803","","","Province 1","","धनकुटा","Dhankuta","","","","","","",26.972067,87.3436,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","56804","56804","","","Province 1","","सुनसरी","Dhankuta","","","","","","",26.860608,87.319429,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","56805","56805","","","Province 1","","धनकुटा","Dhankuta","","","","","","",26.972067,87.3436,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","56806","56806","","","Province 1","","धनकुटा","Dhankuta","","","","","","",27.032683,87.314202,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","56807","56807","","","Province 1","","धनकुटा","Dhankuta","","","","","","",27.040589,87.230324,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","56808","56808","","","Province 1","","धनकुटा","Dhankuta","","","","","","",27.002744,87.409633,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","56809","56809","","","Province 1","","धनकुटा","Dhankuta","","","","","","",26.972067,87.3436,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","56810","56810","","","Province 1","","भोजपुर","Dhankuta","","","","","","",27.145727,87.271091,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","56811","56811","","","Province 1","","धनकुटा","Dhankuta","","","","","","",26.972067,87.3436,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","56812","56812","","","Province 1","","धनकुटा","Dhankuta","","","","","","",26.972067,87.3436,"Asia/Kathmandu","+05:45"
"NP","NPL","Nepal","नेपाल","AS","Asia","56813","56813","","","Province 1","","धनकुटा","Dhankuta","","","","","","",26.972067,87.3436,"Asia/Kathmandu","+05:45"
