"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0600","0600","","","Blockhouse Bay","","","Auckland","","North Island","","","","",-36.9182,174.7002,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0602","0602","","","Kelston","","","Auckland","","North Island","","","","",-36.8982,174.6602,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0604","0604","","","Huia","","","Auckland","","North Island","","","","",-36.9983,174.5667,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0610","0610","","","Te Atatu South","","","Auckland","","North Island","","","","",-36.8647,174.6477,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0612","0612","","","McLaren Park","","","Auckland","","North Island","","","","",-36.8882,174.6102,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0614","0614","","","Swanson","","","Auckland","","North Island","","","","",-36.8667,174.5833,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0618","0618","","","Hobsonville","","","Auckland","","North Island","","","","",-36.8,174.6667,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0620","0620","","","Forrest Hill","","","Auckland","","North Island","","","","",-36.7645,174.7477,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0622","0622","","","Belmont","","","Auckland","","North Island","","","","",-36.8075,174.7864,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0624","0624","","","Devonport","","","Auckland","","North Island","","","","",-36.8282,174.7902,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0626","0626","","","Chatswood","","","Auckland","","North Island","","","","",-36.8184,174.7098,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0627","0627","","","North Shore","","","Auckland","","North Island","","","","",-36.8,174.75,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0629","0629","","Marlborough","Marlborough","NZ-MBH","","Auckland","","North Island","","","","",-36.7782,174.7202,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0630","0630","","","Browns Bay","","","Auckland","","North Island","","","","",-36.7193,174.7367,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0632","0632","","","Greenhithe","","","Auckland","","North Island","","","","",-36.7667,174.6833,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0640","0640","","","New Lynn","","","Auckland","","North Island","","","","",-36.9069,174.687,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0641","0641","","","Glen Eden","","","Auckland","","North Island","","","","",-36.9167,174.65,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0642","0642","","","Titirangi","","","Auckland","","North Island","","","","",-36.9375,174.6558,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0643","0643","","","Green Bay","","","Auckland","","North Island","","","","",-36.931,174.6749,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0644","0644","","","Blockhouse Bay","","","Auckland","","North Island","","","","",-36.9182,174.7002,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0645","0645","","","Glendene","","","Auckland","","North Island","","","","",-36.8882,174.6402,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0650","0650","","","Sunnyvale","","","Auckland","","North Island","","","","",-36.8882,174.6302,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0651","0651","","","Te Atatu","","","Auckland","","North Island","","","","",-36.8333,174.65,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0652","0652","","","Te Atatu South","","","Auckland","","North Island","","","","",-36.8647,174.6477,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0653","0653","","","Swanson","","","Auckland","","North Island","","","","",-36.8667,174.5833,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0654","0654","","","Te Atatu South","","","Auckland","","North Island","","","","",-36.8647,174.6477,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0655","0655","","","Swanson","","","Auckland","","North Island","","","","",-36.8667,174.5833,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0656","0656","","","Massey East","","","Auckland","","North Island","","","","",-36.8282,174.6202,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0657","0657","","","West Harbour","","","Auckland","","North Island","","","","",-36.8182,174.6102,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0660","0660","","","Waitakere","","","Auckland","","North Island","","","","",-36.8513,174.5448,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0661","0661","","","Te Atatu Peninsula","","","Auckland","","North Island","","","","",-36.841,174.6522,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0662","0662","","","Brighams Creek","","","Auckland","","North Island","","","","",-36.7833,174.6,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0663","0663","","","Massey East","","","Auckland","","North Island","","","","",-36.8282,174.6202,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0740","0740","","","Hauraki","","","Auckland","","North Island","","","","",-36.7996,174.778,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0741","0741","","","Milford","","","Auckland","","North Island","","","","",-36.7716,174.7659,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0742","0742","","","Torbay","","","Auckland","","North Island","","","","",-36.696,174.7512,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0743","0743","","","Forrest Hill","","","Auckland","","North Island","","","","",-36.7645,174.7477,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0744","0744","","","Devonport","","","Auckland","","North Island","","","","",-36.7775,174.7399,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0745","0745","","","Glenfield","","","Auckland","","North Island","","","","",-36.7826,174.7211,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0746","0746","","","Birkenhead","","","Auckland","","North Island","","","","",-36.8082,174.7202,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0747","0747","","Marlborough","Marlborough","NZ-MBH","","Auckland","","North Island","","","","",-36.7782,174.7202,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0748","0748","","","North Shore","","","Auckland","","North Island","","","","",-36.8,174.75,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0749","0749","","","Birkdale","","","Auckland","","North Island","","","","",-36.7972,174.7046,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0750","0750","","","Takapuna","","","Auckland","","North Island","","","","",-36.7917,174.7758,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0751","0751","","","Glenfield","","","Auckland","","North Island","","","","",-36.7826,174.7211,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0752","0752","","","Albany","","","Auckland","","North Island","","","","",-36.7167,174.7,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0753","0753","","","Browns Bay","","","Auckland","","North Island","","","","",-36.7193,174.7367,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0754","0754","","","Mairangi Bay","","","Auckland","","North Island","","","","",-36.7381,174.752,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0755","0755","","","Albany","","","Auckland","","North Island","","","","",-36.7167,174.7,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0756","0756","","","Paremoremo","","","Auckland","","North Island","","","","",-36.7667,174.6667,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0757","0757","","","Forrest Hill","","","Auckland","","North Island","","","","",-36.7645,174.7477,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0758","0758","","","Mairangi Bay","","","Auckland","","North Island","","","","",-36.7381,174.752,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0772","0772","","","Karekare","","","Auckland","","North Island","","","","",-36.9833,174.4833,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0781","0781","","","Piha","","","Auckland","","North Island","","","","",-36.95,174.4667,"Pacific/Auckland","UTC+12.0"
"NZ","NZL","New Zealand","New Zealand","OC","Oceania","0782","0782","","","Waitakere","","","Auckland","","North Island","","","","",-36.8513,174.5448,"Pacific/Auckland","UTC+12.0"
