"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"OM","OMN","Oman","عُمان","AS","Asia","30469","30469","","ظفار","Dhofar","","رخيوت","Rukhyut","","","","","","",16.84785,53.34075,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","70669","70669","","ظفار","Dhofar","","مقشن","Muqshin","","","","","","",17.32688,52.76055,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","72349","72349","","ظفار","Dhofar","","مقشن","Muqshin","","","","","","",17.40687,52.81085,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","72603","72603","","ظفار","Dhofar","","مقشن","Muqshin","","","","","","",18.70913,52.58488,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","73227","73227","","ظفار","Dhofar","","مقشن","Muqshin","","","","","","",17.41667,53.0,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","108867","108867","","ظفار","Dhofar","","مقشن","Muqshin","","","","","","",19.33333,53.33333,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","251133","251133","","ظفار","Dhofar","","مقشن","Muqshin","","","","","","",18.16116,52.91919,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","251154","251154","","البريمي","Al Buraymi","OM-BU","محضة","Mahdah","","","","","","",24.60836,56.02499,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","285871","285871","","الوسطى","Al Wusta","OM-WU","محوت","Muhut","","","","","","",20.17959,57.8173,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","285872","285872","","البريمي","Al Buraymi","OM-BU","محضة","Mahdah","","","","","","",24.38333,56.03333,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","285873","285873","","شمال الباطنة","Al Batinah South","","الرستاق","Ar Rustaq","","","","","","",23.55417,57.23056,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","285874","285874","","شمال الباطنة","Al Batinah South","","الرستاق","Ar Rustaq","","","","","","",23.42088,57.15038,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","285875","285875","","الداخلية","Al Dakhiliyah","","ادم","Adam","","","","","","",22.16948,57.15747,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","285876","285876","","الوسطى","Al Wusta","OM-WU","هيماء","Haima","","","","","","",20.81932,57.15208,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","285877","285877","","الداخلية","Al Dakhiliyah","","ازكي","Izki","","","","","","",22.88041,57.75095,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","285878","285878","","الظاهرة","Adh Dhahirah","","عبرى","Ibri","","","","","","",22.80371,56.60535,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","285879","285879","","ظفار","Dhofar","","صلالة","Salalah","","","","","","",17.0425,54.16528,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","285880","285880","","الظاهرة","Adh Dhahirah","","عبرى","Ibri","","","","","","",21.96653,55.75194,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","285881","285881","","جنوب الباطنة","Al Batinah North","","السويق","As Suwayq","","","","","","",23.88383,57.31426,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","285882","285882","","شمال الشرقية","Al Sharqiyah North","","شمال الشرقية","Wadi Bani Khalid","","","","","","",22.59144,59.08953,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","285883","285883","","الداخلية","Al Dakhiliyah","","نزوى","Nizwa","","","","","","",23.09383,57.43014,"Asia/Muscat","UTC+4.0"
"OM","OMN","Oman","عُمان","AS","Asia","285884","285884","","الظاهرة","Adh Dhahirah","","عبرى","Ibri","","","","","","",22.53115,56.5124,"Asia/Muscat","UTC+4.0"
