"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"PA","PAN","Panama","Panamá","NA","North America","1001","1001","","Bocas del Toro","Bocas Del Toro","PA-1","","Bocas Del Toro","","","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","1002","1002","","Bocas del Toro","Bocas Del Toro","PA-1","","Bocas Del Toro","","Bastimentos","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","1003","1003","","Bocas del Toro","Bocas Del Toro","PA-1","","Bocas Del Toro","","Punta Laurel","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","1004","1004","","Bocas del Toro","Bocas Del Toro","PA-1","","Bocas Del Toro","","Cauchero","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","1005","1005","","Bocas del Toro","Bocas Del Toro","PA-1","","Bocas Del Toro","","Tierra Oscura","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","1006","1006","","Bocas del Toro","Bocas Del Toro","PA-1","","Changuinola","","","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","1007","1007","","Bocas del Toro","Bocas Del Toro","PA-1","","Changuinola","","Almirante","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","1008","1008","","Bocas del Toro","Bocas Del Toro","PA-1","","Changuinola","","Guabito","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","1009","1009","","Bocas del Toro","Bocas Del Toro","PA-1","","Changuinola","","El Teribe","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","1010","1010","","Bocas del Toro","Bocas Del Toro","PA-1","","Changuinola","","Valle Del Risco","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","1011","1011","","Bocas del Toro","Bocas Del Toro","PA-1","","Changuinola","","El Empalme","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","1012","1012","","Bocas del Toro","Bocas Del Toro","PA-1","","Changuinola","","Las Tablas","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","1013","1013","","Bocas del Toro","Bocas Del Toro","PA-1","","Chiriqui Grande","","","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","1014","1014","","Bocas del Toro","Bocas Del Toro","PA-1","","Chiriqui Grande","","Punta Robalo","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","1015","1015","","Bocas del Toro","Bocas Del Toro","PA-1","","Chiriqui Grande","","Miramar","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","1016","1016","","Bocas del Toro","Bocas Del Toro","PA-1","","Chiriqui Grande","","Punta Peña","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","1017","1017","","Bocas del Toro","Bocas Del Toro","PA-1","","Chiriqui Grande","","Rambala","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4001","4001","","Chiriquí","Chiriqui","PA-4","","David","","","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4002","4002","","Chiriquí","Chiriqui","PA-4","","David","","Bijagual","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4003","4003","","Chiriquí","Chiriqui","PA-4","","David","","Cochea","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4004","4004","","Chiriquí","Chiriqui","PA-4","","David","","Chiriqui","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4005","4005","","Chiriquí","Chiriqui","PA-4","","David","","Guaca","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4006","4006","","Chiriquí","Chiriqui","PA-4","","David","","Las Lomas","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4007","4007","","Chiriquí","Chiriqui","PA-4","","David","","Pedregal","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4008","4008","","Chiriquí","Chiriqui","PA-4","","David","","San Carlos","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4009","4009","","Chiriquí","Chiriqui","PA-4","","David","","San Pablo Nuevo","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4010","4010","","Chiriquí","Chiriqui","PA-4","","David","","San Pablo Viejo","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4011","4011","","Chiriquí","Chiriqui","PA-4","","Baru","","Puerto Armuelles","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4012","4012","","Chiriquí","Chiriqui","PA-4","","Baru","","Limones","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4013","4013","","Chiriquí","Chiriqui","PA-4","","Baru","","Progreso","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4014","4014","","Chiriquí","Chiriqui","PA-4","","Baru","","Baco","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4015","4015","","Chiriquí","Chiriqui","PA-4","","Baru","","Rodolfo Aguilar","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4016","4016","","Chiriquí","Chiriqui","PA-4","","Bugaba","","La Concepcion","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4017","4017","","Chiriquí","Chiriqui","PA-4","","Bugaba","","Aserrio De Gariche","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4018","4018","","Chiriquí","Chiriqui","PA-4","","Bugaba","","Bugaba","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4019","4019","","Chiriquí","Chiriqui","PA-4","","Bugaba","","Cerro Punta","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4020","4020","","Chiriquí","Chiriqui","PA-4","","Bugaba","","Gomez","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4021","4021","","Chiriquí","Chiriqui","PA-4","","Bugaba","","La Estrella","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4022","4022","","Chiriquí","Chiriqui","PA-4","","Bugaba","","San Andres","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4023","4023","","Chiriquí","Chiriqui","PA-4","","Bugaba","","Santa Marta","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4024","4024","","Chiriquí","Chiriqui","PA-4","","Bugaba","","Santa Rosa","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4025","4025","","Chiriquí","Chiriqui","PA-4","","Bugaba","","Santo Domingo","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4026","4026","","Chiriquí","Chiriqui","PA-4","","Bugaba","","Sortova","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4027","4027","","Chiriquí","Chiriqui","PA-4","","Bugaba","","Volcan","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4028","4028","","Chiriquí","Chiriqui","PA-4","","Bugaba","","El Bongo","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4029","4029","","Chiriquí","Chiriqui","PA-4","","Alanje","","","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4030","4030","","Chiriquí","Chiriqui","PA-4","","Alanje","","Divala","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4031","4031","","Chiriquí","Chiriqui","PA-4","","Alanje","","Guarumal","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4032","4032","","Chiriquí","Chiriqui","PA-4","","Alanje","","Palo Grande","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4033","4033","","Chiriquí","Chiriqui","PA-4","","Alanje","","Querevalo","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4034","4034","","Chiriquí","Chiriqui","PA-4","","Alanje","","Santo Tomas","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4035","4035","","Chiriquí","Chiriqui","PA-4","","Alanje","","Canta Gallo","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4036","4036","","Chiriquí","Chiriqui","PA-4","","Alanje","","Nuevo Mexico","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4037","4037","","Chiriquí","Chiriqui","PA-4","","Boqueron","","","","","","","","","America/Panama","UTC -5.0"
"PA","PAN","Panama","Panamá","NA","North America","4038","4038","","Chiriquí","Chiriqui","PA-4","","Boqueron","","Bagala","","","","","","","America/Panama","UTC -5.0"
