"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"PH","PHL","Philippines","Pilipinas","AS","Asia","2900","2900","","","Ilocos Region","","","Ilocos Norte","","Laoag City","","","","",18.1978,120.5957,"Asia/Manila","UTC+8.0"
"PH","PHL","Philippines","Pilipinas","AS","Asia","2901","2901","","","Ilocos Region","","","Ilocos Norte","","San Nicolas","","","","",18.1725,120.5953,"Asia/Manila","UTC+8.0"
"PH","PHL","Philippines","Pilipinas","AS","Asia","2902","2902","","","Ilocos Region","","","Ilocos Norte","","Paoay","","","","",18.0616,120.5221,"Asia/Manila","UTC+8.0"
"PH","PHL","Philippines","Pilipinas","AS","Asia","2903","2903","","","Ilocos Region","","","Ilocos Norte","","Currimao","","","","",18.0182,120.4876,"Asia/Manila","UTC+8.0"
"PH","PHL","Philippines","Pilipinas","AS","Asia","2904","2904","","","Ilocos Region","","","Ilocos Norte","","Badoc","","","","",17.9265,120.4764,"Asia/Manila","UTC+8.0"
"PH","PHL","Philippines","Pilipinas","AS","Asia","2905","2905","","","Ilocos Region","","","Ilocos Norte","","Pinili","","","","",17.9517,120.5278,"Asia/Manila","UTC+8.0"
"PH","PHL","Philippines","Pilipinas","AS","Asia","2906","2906","","","Ilocos Region","","","Ilocos Norte","","Batac City","","","","",18.0371,120.5699,"Asia/Manila","UTC+8.0"
"PH","PHL","Philippines","Pilipinas","AS","Asia","2907","2907","","","Ilocos Region","","","Ilocos Norte","","Marcos","","","","",18.052,120.6898,"Asia/Manila","UTC+8.0"
"PH","PHL","Philippines","Pilipinas","AS","Asia","2908","2908","","","Ilocos Region","","","Ilocos Norte","","Batac City","","","","",18.0371,120.5699,"Asia/Manila","UTC+8.0"
"PH","PHL","Philippines","Pilipinas","AS","Asia","2909","2909","","","Ilocos Region","","","Ilocos Norte","","Nueva Era","","","","",17.9163,120.6641,"Asia/Manila","UTC+8.0"
"PH","PHL","Philippines","Pilipinas","AS","Asia","2910","2910","","","Ilocos Region","","","Ilocos Norte","","Solsona","","","","",18.0933,120.7697,"Asia/Manila","UTC+8.0"
