"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"PK","PAK","Pakistan","پاکستان","AS","Asia","24550","24550","","Khyber Pakhtunkhwa","Khyber Pakhtunkhwa","PK-KP","","ABAZAI","","","","","","",34.486874,72.089469,"Asia/Karachi","UTC+05:00"
"PK","PAK","Pakistan","پاکستان","AS","Asia","28440","28440","","Khyber Pakhtunkhwa","Khyber Pakhtunkhwa","PK-KP","","ABBA KHEL","","","","","","",34.486874,72.089469,"Asia/Karachi","UTC+05:00"
"PK","PAK","Pakistan","پاکستان","AS","Asia","12200","12200","","","Azad Kashmir","","","ABBAS PUR","","","","","","",33.950022,73.90253,"Asia/Karachi","UTC+05:00"
"PK","PAK","Pakistan","پاکستان","AS","Asia","22010","22010","","Khyber Pakhtunkhwa","Khyber Pakhtunkhwa","PK-KP","","ABBOTTABAD GPO","","","","","","",34.1495034,73.1995007,"Asia/Karachi","UTC+05:00"
"PK","PAK","Pakistan","پاکستان","AS","Asia","22030","22030","","Khyber Pakhtunkhwa","Khyber Pakhtunkhwa","PK-KP","","ABBOTTABAD PUBLIC SCHOOL","","","","","","",34.1495034,73.1995007,"Asia/Karachi","UTC+05:00"
"PK","PAK","Pakistan","پاکستان","AS","Asia","80820","80820","","Balochistan","Balochistan","PK-BA","","ABDUL GHAFOOR LEHRI","","","","","","",29.1814458,68.2097723,"Asia/Karachi","UTC+05:00"
"PK","PAK","Pakistan","پاکستان","AS","Asia","58180","58180","","Punjab","Punjab","PK-PB","","ABDUL HAKIM","","","","","","",30.829094,72.144232,"Asia/Karachi","UTC+05:00"
"PK","PAK","Pakistan","پاکستان","AS","Asia","16320","16320","","Gilgit-Baltistan","Gilgit Baltistan","PK-GB","","ACHORI","","","","","","",35.797256,74.996215,"Asia/Karachi","UTC+05:00"
"PK","PAK","Pakistan","پاکستان","AS","Asia","24170","24170","","Khyber Pakhtunkhwa","Khyber Pakhtunkhwa","PK-KP","","ADAMJEE PAPER BOARD MILLS NOWSHERA","","","","","","",34.0093502,72.0024817,"Asia/Karachi","UTC+05:00"
"PK","PAK","Pakistan","پاکستان","AS","Asia","57460","57460","","Punjab","Punjab","PK-PB","","ADDA GAMBEER","","","","","","",30.829094,72.144232,"Asia/Karachi","UTC+05:00"
"PK","PAK","Pakistan","پاکستان","AS","Asia","28300","28300","","Khyber Pakhtunkhwa","Khyber Pakhtunkhwa","PK-KP","","ADDA MIR ABBAS","","","","","","",34.486874,72.089469,"Asia/Karachi","UTC+05:00"
"PK","PAK","Pakistan","پاکستان","AS","Asia","41260","41260","","Punjab","Punjab","PK-PB","","ADHI KOT","","","","","","",30.829094,72.144232,"Asia/Karachi","UTC+05:00"
"PK","PAK","Pakistan","پاکستان","AS","Asia","39060","39060","","Punjab","Punjab","PK-PB","","ADHIAN","","","","","","",30.829094,72.144232,"Asia/Karachi","UTC+05:00"
"PK","PAK","Pakistan","پاکستان","AS","Asia","65080","65080","","Sindh","Sindh","PK-SD","","ADIL PUR","","","","","","",27.854723,69.1054459,"Asia/Karachi","UTC+05:00"
"PK","PAK","Pakistan","پاکستان","AS","Asia","50730","50730","","Punjab","Punjab","PK-PB","","ADOWAL","","","","","","",30.829094,72.144232,"Asia/Karachi","UTC+05:00"
"PK","PAK","Pakistan","پاکستان","AS","Asia","49304","49304","","Punjab","Punjab","PK-PB","","ADRANA","","","","","","",30.829094,72.144232,"Asia/Karachi","UTC+05:00"
"PK","PAK","Pakistan","پاکستان","AS","Asia","10360","10360","","","Azad Kashmir","","","AFZAL PUR","","","","","","",33.950022,73.90253,"Asia/Karachi","UTC+05:00"
