"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-000","3750000","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Águeda","Águeda","Zona Industrial En 1 Norte","Zona Industrial En 1 Norte","","",40.5613,-8.3816,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-011","3750011","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Agadão","Agadão","Alcafaz","Alcafaz","","",40.5755,-8.3247,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-012","3750012","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Agadão","Agadão","Caselho","Caselho","","",40.5619,-8.3228,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-013","3750013","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Agadão","Agadão","Corga da Serra","Corga da Serra","","",40.5797,-8.3093,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-013","3750013","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Agadão","Agadão","Bertufo","Bertufo","","",40.5797,-8.3093,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-014","3750014","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Agadão","Agadão","Foz","Foz","","",40.5522,-8.3232,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-015","3750015","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Agadão","Agadão","Guistola","Guistola","","",40.5344,-8.3106,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-016","3750016","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Agadão","Agadão","Guistolinha","Guistolinha","","",40.5316,-8.3076,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-017","3750017","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Agadão","Agadão","Lomba","Lomba","","",40.5408,-8.3031,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-018","3750018","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Agadão","Agadão","Povinha","Povinha","","",40.5882,-8.3086,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-019","3750019","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Agadão","Agadão","Vila Mendo","Vila Mendo","","",40.5439,-8.3176,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-020","3750020","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Agadão","Agadão","Felgueira","Felgueira","","",40.5408,-8.3031,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-021","3750021","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Agadão","Agadão","Boa Aldeia","Boa Aldeia","","",40.6041,-8.3577,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-022","3750022","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Agadão","Agadão","Côvo","Côvo","","",40.5408,-8.3031,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-022","3750022","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Agadão","Agadão","Sobreira","Sobreira","","",40.525,-8.3006,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-022","3750022","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Agadão","Agadão","Lázaro","Lázaro","","",40.5168,-8.3044,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-022","3750022","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Agadão","Agadão","Lousa","Lousa","","",40.5406,-8.3355,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-031","3750031","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Aguada De Baixo","Aguada De Baixo","Aguadela","Aguadela","","",40.5362,-8.4462,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-031","3750031","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Aguada De Baixo","Aguada De Baixo","Borralha","Borralha","","",40.5115,-8.4507,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-031","3750031","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Aguada De Baixo","Aguada De Baixo","Alto da Póvoa","Alto da Póvoa","","",40.5362,-8.4462,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-031","3750031","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Aguada De Baixo","Aguada De Baixo","Aguada de Baixo","Aguada de Baixo","","",40.5125,-8.4535,"Europe/Lisbon","UTC +0.0"
"PT","PRT","Portugal","Portuguesa","EU","Europe","3750-033","3750033","","Aveiro","Aveiro","PT-01","Águeda","Águeda","Aguada De Baixo","Aguada De Baixo","Landiosa","Landiosa","","",40.5183,-8.4552,"Europe/Lisbon","UTC +0.0"
