"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"RO","ROU","Romania","România","EU","Europe","510001","510001","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0993,23.5849,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510002","510002","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.1014,23.5557,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510002","510002","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510003","510003","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0333,23.5667,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510004","510004","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.05,23.5167,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510005","510005","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510006","510006","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510007","510007","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510008","510008","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510009","510009","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510010","510010","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510011","510011","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510012","510012","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510014","510014","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510016","510016","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510017","510017","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510021","510021","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510022","510022","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510026","510026","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510029","510029","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510030","510030","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510031","510031","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510032","510032","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510033","510033","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510034","510034","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510037","510037","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
"RO","ROU","Romania","România","EU","Europe","510039","510039","","Alba","Alba","RO-AB","Alba Iulia","Alba Iulia","","","","","","",46.0667,23.5833,"Europe/Bucharest","UTC+2.0"
