"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"RS","SRB","Serbia","Србија","EU","Europe","11000","11000","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Савски венац","Savski Venac","","","Београд","Belgrade",44.804,20.4651,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11031","11031","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Земун","Zemun","","","Београд","Belgrade",44.8249,20.4331,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11080","11080","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Земун","Zemun","","","Земун","Zemun",44.8458,20.4012,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11130","11130","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Гроцка","Grocka","","","Калуђерица","Kaluđerica",44.7542,20.5541,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11194","11194","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Чукарица","Čukarica","","","Рушањ","Rušanj",44.6848,20.4499,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11211","11211","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Палилула","Palilula","","","Борча","Borča",44.8697,20.4541,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11212","11212","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Палилула","Palilula","","","Овча","Ovča",44.8835,20.5334,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11213","11213","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Палилула","Palilula","","","Падинска Скела","Padinska Skela",44.9429,20.4255,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11215","11215","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Палилула","Palilula","","","Сланци","Slanci",44.8077,20.5718,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11223","11223","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Вождовац","Voždovac","","","Бели Поток","Beli Potok",44.7063,20.5177,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11224","11224","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Гроцка","Grocka","","","Врчин","Vrčin",44.6685,20.5933,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11225","11225","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Вождовац","Voždovac","","","Зуце","Zuce",44.6981,20.5552,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11226","11226","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Вождовац","Voždovac","","","Пиносава","Pinosava",44.6954,20.483,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11232","11232","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Вождовац","Voždovac","","","Рипањ","Ripanj",44.6386,20.5214,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11233","11233","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Сопот","Sopot","","","Раља","Ralja",44.5722,20.5622,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11235","11235","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Сопот","Sopot","","","Мали Пожаревац","Mali Požarevac",44.5633,20.6543,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11251","11251","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Чукарица","Čukarica","","","Остружница","Ostružnica",44.7277,20.3185,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11253","11253","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Чукарица","Čukarica","","","Сремчица","Sremčica",44.6765,20.3923,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11260","11260","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Чукарица","Čukarica","","","Умка","Umka",44.6781,20.3047,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11261","11261","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Обреновац","Obrenovac","","","Мала Моштаница","Mala Moštanica",44.6383,20.306,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11262","11262","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Чукарица","Čukarica","","","Велика Моштаница","Velika Moštanica",44.6649,20.3539,"Europe/Belgrade","UTC +1.0"
"RS","SRB","Serbia","Србија","EU","Europe","11271","11271","","Централна Србија","Central Serbia","","Град Београд","Belgrade City","Сурчин","Surčin","","","Сурчин","Surčin",44.7931,20.2803,"Europe/Belgrade","UTC +1.0"
