"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22231","22231","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","البغدادية الغربية","Al Baghdadiyah Al Gharbiyah","","","","",21.4986735,39.1762603,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22232","22232","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","البغدادية الغربية","Al Baghdadiyah Al Gharbiyah","","","","",21.4906717,39.1794212,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22233","22233","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","البلد","Al Balad","","","","",21.4889697,39.1844612,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22234","22234","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الشرفية","Al Sharafiyah","","","","",21.5090657,39.192489,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22235","22235","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","البغدادية الشرقية","Al Baghdadiyah Al Sharqiyah","","","","",21.4962596,39.1921834,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22236","22236","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","البلد","Al Balad","","","","",21.487898,39.1850913,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22237","22237","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","العمارية","Al Ammariyah","","","","",21.4895646,39.1932449,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22238","22238","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","البلد","Al Balad","","","","",21.483209,39.1925408,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22241","22241","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الفيحاء","Al Fayha","","","","",21.5101782,39.1971329,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22242","22242","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الكندرة","Al Kandarah","","","","",21.4911002,39.2058711,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22243","22243","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الفيحاء","Al Fayha","","","","",21.5108969,39.2071781,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22244","22244","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الفيحاء","Al Fayha","","","","",21.4964341,39.2146857,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22245","22245","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الفيحاء","Al Fayha","","","","",21.5070655,39.2158727,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22246","22246","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الفيحاء","Al Fayha","","","","",21.4906768,39.2255008,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22251","22251","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الفيحاء","Al Fayha","","","","",21.5085049,39.2231394,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22252","22252","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","جامعة الملك عبدالعزيز","King Abdulaziz University","","","","",21.4957112,39.2340014,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22253","22253","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","السليمانية","Al Sulaymaniyah","","","","",21.5083288,39.2462543,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22254","22254","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","جامعة الملك عبدالعزيز","King Abdulaziz University","","","","",21.4903991,39.266391,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22261","22261","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","ابرق الرغامة","Abruq Al Rughamah","","","","",21.5110527,39.2611423,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22262","22262","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","ابرق الرغامة","Abruq Al Rughamah","","","","",21.4957462,39.2783847,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22263","22263","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","ابرق الرغامة","Abruq Al Rughamah","","","","",21.5201142,39.2885789,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22264","22264","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","ابرق الرغامة","Abruq Al Rughamah","","","","",21.4981094,39.2823362,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22271","22271","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","مريخ","Mraykh","","","","",21.5261595,39.3050353,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22272","22272","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","ابرق الرغامة","Abruq Al Rughamah","","","","",21.499634,39.2967258,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22273","22273","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","مريخ","Mraykh","","","","",21.5251278,39.3121907,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22274","22274","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","ابرق الرغامة","Abruq Al Rughamah","","","","",21.4962442,39.3146025,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22321","22321","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الهنداوية","Al Hindawiyah","","","","",21.4735904,39.1840257,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22322","22322","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الثعالبة","Al Thaalibah","","","","",21.4650157,39.1852188,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22323","22323","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الهنداوية","Al Hindawiyah","","","","",21.4762962,39.1915875,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22324","22324","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الثعالبة","Al Thaalibah","","","","",21.4611778,39.1891763,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22325","22325","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","السبيل","Al Sabil","","","","",21.4855155,39.2040949,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22331","22331","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الثغر","Al Thaghr","","","","",21.4842263,39.2196151,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22332","22332","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","النزلة اليمانية","Al Nazlah Al Yamaniyah","","","","",21.4766833,39.2059049,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22333","22333","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","النزلة اليمانية","Al Nazlah Al Yamaniyah","","","","",21.4690498,39.2022636,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22334","22334","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","النزلة اليمانية","Al Nazlah Al Yamaniyah","","","","",21.4591547,39.2088589,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22335","22335","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","النزلة الشرقية","Al Nazlah Al Sharqiyah","","","","",21.4717248,39.2231253,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22336","22336","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","مدائن الفهد","Madain Al Fahd","","","","",21.4622049,39.2282009,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22337","22337","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","مدائن الفهد","Madain Al Fahd","","","","",21.4675777,39.2329611,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22338","22338","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الثغر","Al Thaghr","","","","",21.4743592,39.2385508,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22341","22341","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الجامعة","Al Jamiah","","","","",21.4795075,39.2430691,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22342","22342","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الجامعة","Al Jamiah","","","","",21.4733184,39.2427272,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22343","22343","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","مدائن الفهد","Madain Al Fahd","","","","",21.4672264,39.2406391,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22344","22344","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","مدائن الفهد","Madain Al Fahd","","","","",21.4561567,39.2199401,"Arabia Standard Time","UTC+3"
"SA","SAU","Saudi Arabia  ","العربية السعودية","AS","Asia","22345","22345","","منطقة مكة المكرمة","Makkah Al Mukarramah Province","","جدة","Jeddah","الروابي","Al Rawabi","","","","",21.4736842,39.2704828,"Arabia Standard Time","UTC+3"
