"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"SK","SVK","Slovakia","Slovensko","EU","Europe","974 01","97401","","","Banska Bystrica","","","Okres Banská Bystrica","","Kynceľová","","","","",48.7499,19.1857,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","974 01","97401","","","Banska Bystrica","","","Okres Banská Bystrica","","Môlča","","","","",48.712,19.2269,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","974 01","97401","","","Banska Bystrica","","","Okres Banská Bystrica","","Dolná Mičiná","","","","",48.6754,19.2223,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","974 01","97401","","","Banska Bystrica","","","Okres Banská Bystrica","","Riečka","","","","",48.7562,19.0768,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","974 01","97401","","","Banska Bystrica","","","Okres Banská Bystrica","","Špania Dolina","","","","",48.8075,19.1341,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","974 01","97401","","","Banska Bystrica","","","Okres Banská Bystrica","","Sebedín-Bečov","","","","",48.6399,19.2406,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","974 01","97401","","","Banska Bystrica","","","Okres Banská Bystrica","","Nemce","","","","",48.7622,19.1853,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","974 01","97401","","","Banska Bystrica","","","Okres Banská Bystrica","","Horná Mičiná","","","","",48.6989,19.2144,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","974 01","97401","","","Banska Bystrica","","","Okres Banská Bystrica","","Čerín - Čačín","","","","",48.6668,19.255,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","974 01","97401","","","Banska Bystrica","","","Okres Banská Bystrica","","Banská Bystrica","","","","",48.7395,19.1535,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","974 01","97401","","","Banska Bystrica","","","Okres Banská Bystrica","","Banská Bystrica 1","","","","",48.7321,19.1784,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","974 04","97404","","","Banska Bystrica","","","Okres Banská Bystrica","","Banská Bystrica","","","","",48.7395,19.1535,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","974 05","97405","","","Banska Bystrica","","","Okres Banská Bystrica","","Malachov","","","","",48.7103,19.0897,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","974 05","97405","","","Banska Bystrica","","","Okres Banská Bystrica","","Horné Pršany","","","","",48.6996,19.0833,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","974 09","97409","","","Banska Bystrica","","","Okres Banská Bystrica","","Banská Bystrica","","","","",48.7395,19.1535,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","974 11","97411","","","Banska Bystrica","","","Okres Banská Bystrica","","Banská Bystrica","","","","",48.7395,19.1535,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","976 02","97602","","","Banska Bystrica","","","Okres Banská Bystrica","","Motyčky","","","","",48.8606,19.1699,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","976 02","97602","","","Banska Bystrica","","","Okres Banská Bystrica","","Staré Hory","","","","",48.8391,19.1148,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","976 02","97602","","","Banska Bystrica","","","Okres Banská Bystrica","","Turecká","","","","",48.8494,19.0845,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","976 03","97603","","","Banska Bystrica","","","Okres Banská Bystrica","","Dolný Harmanec","","","","",48.8097,19.0519,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","976 03","97603","","","Banska Bystrica","","","Okres Banská Bystrica","","Harmanec","","","","",48.7958,19.0734,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","976 11","97611","","","Banska Bystrica","","","Okres Banská Bystrica","","Priechod","","","","",48.7831,19.2354,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","976 11","97611","","","Banska Bystrica","","","Okres Banská Bystrica","","Baláže","","","","",48.814,19.1957,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","976 11","97611","","","Banska Bystrica","","","Okres Banská Bystrica","","Selce","","","","",48.7626,19.203,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","976 13","97613","","","Banska Bystrica","","","Okres Banská Bystrica","","Moštenica","","","","",48.8084,19.2905,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","976 13","97613","","","Banska Bystrica","","","Okres Banská Bystrica","","Podkonice","","","","",48.7999,19.2575,"Europe/Bratislava","UTC+01:00"
"SK","SVK","Slovakia","Slovensko","EU","Europe","976 13","97613","","","Banska Bystrica","","","Okres Banská Bystrica","","Slovenská Ľupča","","","","",48.7653,19.2755,"Europe/Bratislava","UTC+01:00"
