"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"TH","THA","Thailand","ประเทศไทย","AS","Asia","10010","10010","","กรุงเทพมหานคร","Bangkok","","หลักสี่","Lak Si ","","","","","","",13.8803621,100.5724108,"Asia/Bangkok","UTC+07:00"
"TH","THA","Thailand","ประเทศไทย","AS","Asia","10100","10100","","กรุงเทพมหานคร","Bangkok","","ป้อมปราบศัตรูพ่าย","Pom Prap Sattru Phai","","","","","","",13.7451929,100.5106319,"Asia/Bangkok","UTC+07:00"
"TH","THA","Thailand","ประเทศไทย","AS","Asia","10110","10110","","กรุงเทพมหานคร","Bangkok","","คลองเตย","Khlong Toei ","","","","","","",13.7080339,100.5831093,"Asia/Bangkok","UTC+07:00"
"TH","THA","Thailand","ประเทศไทย","AS","Asia","10120","10120","","กรุงเทพมหานคร","Bangkok","","สาทร","Sathon ","","","","","","",13.7082026,100.5262992,"Asia/Bangkok","UTC+07:00"
"TH","THA","Thailand","ประเทศไทย","AS","Asia","10130","10130","","สมุทรปราการ","Samut Prakan ","TH-11","พระประแดง","Phra Pradaeng ","","","","","","",13.6583494,100.5339006,"Asia/Bangkok","UTC+07:00"
"TH","THA","Thailand","ประเทศไทย","AS","Asia","10140","10140","","กรุงเทพมหานคร","Bangkok","","ราษฎร์บูรณะ","Rat Burana ","","","","","","",13.6817597,100.505822,"Asia/Bangkok","UTC+07:00"
"TH","THA","Thailand","ประเทศไทย","AS","Asia","10150","10150","","กรุงเทพมหานคร","Bangkok","","บางขุนเทียน","Bang Khun Thian ","","","","","","",13.6607444,100.435061,"Asia/Bangkok","UTC+07:00"
"TH","THA","Thailand","ประเทศไทย","AS","Asia","10160","10160","","กรุงเทพมหานคร","Bangkok","","ภาษีเจริญ","Phasi Charoen ","","","","","","",13.7130939,100.4365841,"Asia/Bangkok","UTC+07:00"
"TH","THA","Thailand","ประเทศไทย","AS","Asia","10170","10170","","กรุงเทพมหานคร","Bangkok","","ตลิ่งชัน","Taling Chan ","","","","","","",13.7783653,100.4550477,"Asia/Bangkok","UTC+07:00"
"TH","THA","Thailand","ประเทศไทย","AS","Asia","10200","10200","","กรุงเทพมหานคร","Bangkok","","พระนคร","Phra Nakhon ","","","","","","",13.7539579,100.5022432,"Asia/Bangkok","UTC+07:00"
