"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"TR","TUR","Turkey","Türkiye","AS","Asia","49800","49800","","Muş","Muş","TR-49","","Korkut","","Sarmaşik","","","","",38.7169,41.9765,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","49700","49700","","Muş","Muş","TR-49","","Hasköy","","Karakütük","","","","",38.6361,41.7695,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","49090","49090","","Muş","Muş","TR-49","","Muş","","Elçiler","","","","",38.95,41.8167,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","49510","49510","","Muş","Muş","TR-49","","Bulanik","","Büngüldek","","","","",39.088,42.0525,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","50400","50400","","Nevşehir","Nevşehir","TR-50","","Ürgüp","","Sarihidir","","","","",38.7358,34.9309,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","50900","50900","","Nevşehir","Nevşehir","TR-50","","Gülşehir","","Fakiuşaği","","","","",38.7908,34.3139,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","50800","50800","","Nevşehir","Nevşehir","TR-50","","Hacibektaş","","Büyükkişla","","","","",38.8855,34.7062,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","50800","50800","","Nevşehir","Nevşehir","TR-50","","Hacibektaş","","Kütükçü","","","","",38.9,34.5833,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","50800","50800","","Nevşehir","Nevşehir","TR-50","","Hacibektaş","","Kayaalti","","","","",39.0505,34.7737,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52850","52850","","Ordu","Ordu","TR-52","","Ulubey","","Uzunmahmut","","","","",40.8022,37.7558,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52750","52750","","Ordu","Ordu","TR-52","","Perşembe","","Çerli","","","","",41.0333,37.7833,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52400","52400","","Ordu","Ordu","TR-52","","Fatsa","","Geyikçeli","","","","",40.9325,37.3598,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52400","52400","","Ordu","Ordu","TR-52","","Fatsa","","Yassitaş","","","","",40.9625,37.4684,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52410","52410","","Ordu","Ordu","TR-52","","Fatsa","","İnönü","","","","",40.9682,37.5695,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52800","52800","","Ordu","Ordu","TR-52","","Kumru","","Divanitürk","","","","",40.865,37.1766,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52900","52900","","Ordu","Ordu","TR-52","","Mesudiye","","Dursunlu","","","","",40.5937,37.7649,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52900","52900","","Ordu","Ordu","TR-52","","Mesudiye","","Armutkolu","","","","",40.5188,37.8929,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52700","52700","","Ordu","Ordu","TR-52","","Korgan","","Yeşilyurt","","","","",40.7527,37.8918,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52300","52300","","Ordu","Ordu","TR-52","","Ünye","","Esenkale","","","","",41.0463,37.3146,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52300","52300","","Ordu","Ordu","TR-52","","Ünye","","Yenikent","","","","",40.9297,37.433,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52300","52300","","Ordu","Ordu","TR-52","","Ünye","","Sarihalil","","","","",41.0034,37.3588,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52300","52300","","Ordu","Ordu","TR-52","","Ünye","","Üçpinar","","","","",41.0308,37.2844,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52330","52330","","Ordu","Ordu","TR-52","","Ünye","","Yenikizilcakese","","","","",40.954,37.1446,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52000","52000","","Ordu","Ordu","TR-52","","Altinordu","","Karaoluk","","","","",40.95,37.7,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52010","52010","","Ordu","Ordu","TR-52","","Gülyali","","Ayrilik","","","","",40.9493,38.0871,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52420","52420","","Ordu","Ordu","TR-52","","Çatalpinar","","Karahasan","","","","",40.6564,37.5204,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","52500","52500","","Ordu","Ordu","TR-52","","Aybasti","","Aybasti","","","","",40.6867,37.3992,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","53540","53540","","Rize","Rize","TR-53","","Kalkandere","","Ormanli","","","","",40.9451,40.4206,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","53690","53690","","Rize","Rize","TR-53","","İkizdere","","Ortaköy","","","","",40.7352,40.7618,"Europe/Istanbul","UTC+3"
"TR","TUR","Turkey","Türkiye","AS","Asia","53690","53690","","Rize","Rize","TR-53","","İkizdere","","Eskice","","","","",40.65,40.4833,"Europe/Istanbul","UTC+3"
