"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","21726","21726","Korogwe","Tanga","Tanga","TZ-25","","Tanga","","Korogwe","","","","",-4.898929,38.348172,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","39513","39513","Magu","Mwanza","Mwanza","TZ-18","","Mwanza","","Magu","","","","",-2.238736,33.875686,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","23709","23709","Ngorongoro","Arusha","Arusha","TZ-01","","Arusha","","Ngorongoro","","","","",-1.818288,35.317316,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","47102","47102","Kigoma Urban","Kigoma","Kigoma","TZ-08","","Kigoma","","Kigoma Urban","","","","",-4.9015832,29.6237815,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","27507","27507","Kiteto","Manyara","Manyara","TZ-26","","Manyara","","Kiteto","","","","",-5.446597,36.349111,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","33404","33404","Kwimba","Mwanza","Mwanza","TZ-18","","Mwanza","","Kwimba","","","","",-2.677919,33.408094,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","41806","41806","Kondoa","Dodoma","Dodoma","TZ-03","","Dodoma","","Kondoa","","","","",-5.382633,35.6965581,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","47306","47306","Kasulu","Kigoma","Kigoma","TZ-08","","Kigoma","","Kasulu","","","","",-4.6144144,30.2145897,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","31501","31501","Bunda","Mara","Mara","TZ-13","","Mara","","Bunda","","","","",-2.016658,33.879121,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","39201","39201","Bariadi","Shinyanga","Shinyanga","TZ-22","","Shinyanga","","Bariadi","","","","",-2.9631371,34.157408,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","53119","53119","Mbeya Urban","Mbeya","Mbeya","TZ-14","","Mbeya","","Mbeya Urban","","","","",-8.940728,33.408548,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","50103","50103","Mpanda","Rukwa","Rukwa","TZ-20","","Rukwa","","Mpanda","","","","",-6.3745311,31.0228788,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","41727","41727","Kondoa","Dodoma","Dodoma","TZ-03","","Dodoma","","Kondoa","","","","",-4.8827186,35.5408503,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","30506","30506","Bukombe","Shinyanga","Shinyanga","TZ-22","","Shinyanga","","Bukombe","","","","",-3.4894171,31.4854606,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","39220","39220","Bariadi","Shinyanga","Shinyanga","TZ-22","","Shinyanga","","Bariadi","","","","",-2.8724624,33.8198085,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","33401","33401","Magu","Mwanza","Mwanza","TZ-18","","Mwanza","","Magu","","","","",-2.577571,33.443875,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","57420","57420","Mbinga","Ruvuma","Ruvuma","TZ-21","","Ruvuma","","Mbinga","","","","",-11.197133,34.857421,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","65201","65201","Lindi Rural","Lindi","Lindi","TZ-12","","Lindi","","Lindi Rural","","","","",-10.118337,39.876239,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","43613","43613","Singida Rural","Singida","Singida","TZ-23","","Singida","","Singida Rural","","","","",-5.2385057,34.2012574,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","47322","47322","Kasulu","Kigoma","Kigoma","TZ-08","","Kigoma","","Kasulu","","","","",-4.683026,30.147086,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","50308","50308","Uyui","Tabora","Tabora","TZ-24","","Tabora","","Uyui","","","","",-5.025329,33.149899,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","25115","25115","Moshi Urban","Kilimanjaro","Kilimanjaro","TZ-09","","Kilimanjaro","","Moshi Urban","","","","",-3.3418561,37.3050246,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","27220","27220","Babati","Manyara","Manyara","TZ-26","","Manyara","","Babati","","","","",-4.204844,35.572275,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","67212","67212","Morogoro Rural","Morogoro","Morogoro","TZ-16","","Morogoro","","Morogoro Rural","","","","",-6.987382,37.954947,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","23502","23502","Monduli","Arusha","Arusha","TZ-01","","Arusha","","Monduli","","","","",-2.606645,36.754514,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","37308","37308","Kahama","Shinyanga","Shinyanga","TZ-22","","Shinyanga","","Kahama","","","","",-3.853445,32.586594,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","37510","37510","Kishapu","Shinyanga","Shinyanga","TZ-22","","Shinyanga","","Kishapu","","","","",-3.8633963,33.7657848,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","45115","45115","Tabora Urban","Tabora","Tabora","TZ-24","","Tabora","","Tabora Urban","","","","",-4.9848824,32.7033603,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","41517","41517","Kongwa","Dodoma","Dodoma","TZ-03","","Dodoma","","Kongwa","","","","",-5.80125,36.51551,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","61513","61513","Mkuranga","","Pwani","","","Pwani","","Mkuranga","","","","",-7.3066593,39.2978198,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","50107","50107","Mpanda","Rukwa","Rukwa","TZ-20","","Rukwa","","Mpanda","","","","",-6.353784,31.061738,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","37335","37335","Kahama","Shinyanga","Shinyanga","TZ-22","","Shinyanga","","Kahama","","","","",-3.5703771,32.6526371,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","45506","45506","Urambo","Tabora","Tabora","TZ-24","","Tabora","","Urambo","","","","",-5.08033,32.249109,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","67313","67313","Mvomero","Morogoro","Morogoro","TZ-16","","Morogoro","","Mvomero","","","","",-6.994043,37.500523,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","30124","30124","Geita","Mwanza","Mwanza","TZ-18","","Mwanza","","Geita","","","","",-3.1094141,31.9890628,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","31110","31110","Musoma Urban","Mara","Mara","TZ-13","","Mara","","Musoma Urban","","","","",-1.502671,33.760983,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","43412","43412","Manyoni","Singida","Singida","TZ-23","","Singida","","Manyoni","","","","",-6.337571,34.828666,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","37507","37507","Kishapu","Shinyanga","Shinyanga","TZ-22","","Shinyanga","","Kishapu","","","","",-3.879132,34.140374,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","57424","57424","Mbinga","Ruvuma","Ruvuma","TZ-21","","Ruvuma","","Mbinga","","","","",-11.01645,35.144338,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","67114","67114","Morogoro Urban","Morogoro","Morogoro","TZ-16","","Morogoro","","Morogoro Urban","","","","",-6.7112851,37.6745368,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","41719","41719","Kondoa","Dodoma","Dodoma","TZ-03","","Dodoma","","Kondoa","","","","",-4.9094518,36.165183,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","67718","67718","Kilosa","Morogoro","Morogoro","TZ-16","","Morogoro","","Kilosa","","","","",-6.207965,36.87397,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","31137","31137","Musoma Rural","Mara","Mara","TZ-13","","Mara","","Musoma Rural","","","","",-1.615986,33.73723,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","25513","25513","Mwanga","Kilimanjaro","Kilimanjaro","TZ-09","","Kilimanjaro","","Mwanga","","","","",-3.750442,37.59522,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","61108","61108","Kibaha","","Pwani","","","Pwani","","Kibaha","","","","",-6.677004,38.888527,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","57429","57429","Mbinga","Ruvuma","Ruvuma","TZ-21","","Ruvuma","","Mbinga","","","","",-11.013339,34.9414118,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","37210","37210","Shinyanga Rural","Shinyanga","Shinyanga","TZ-22","","Shinyanga","","Shinyanga Rural","","","","",-3.838648,33.172576,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","31117","31117","Musoma Rural","Mara","Mara","TZ-13","","Mara","","Musoma Rural","","","","",-1.692674,33.703385,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","25302","25302","Hai","Kilimanjaro","Kilimanjaro","TZ-09","","Kilimanjaro","","Hai","","","","",-3.270118,37.245668,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","31230","31230","Musoma Rural","Mara","Mara","TZ-13","","Mara","","Musoma Rural","","","","",-1.596034,33.810812,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","23506","23506","Monduli","Arusha","Arusha","TZ-01","","Arusha","","Monduli","","","","",-2.854677,37.297541,"Africa/Dar_es_Salaam","UTC +3.0"
"TZ","TZA","Tanzania","Tanzania, United Republic of","AF","Africa","21210","21210","Muheza","Tanga","Tanga","TZ-25","","Tanga","","Muheza","","","","",-5.2558231,38.9947157,"Africa/Dar_es_Salaam","UTC +3.0"
