"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"UA","UKR","Ukraine","Україна","EU","Europe","18000","18000","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18001","18001","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18002","18002","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18003","18003","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18005","18005","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18006","18006","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18007","18007","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18008","18008","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18009","18009","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18014","18014","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18015","18015","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18018","18018","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18020","18020","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18021","18021","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18023","18023","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18024","18024","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18028","18028","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18029","18029","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18030","18030","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18031","18031","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18032","18032","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18034","18034","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18035","18035","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","18036","18036","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Черкаська міська громада","","","","","",49.4285,32.0621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19001","19001","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Канівська міська громада","","","","","",49.7518,31.46,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19003","19003","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Канівська міська громада","","","","","",49.7518,31.46,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19010","19010","","Черкаська область","Cherkasy Oblast","","Золотоніський район","","Чорнобаївська селищна громада","","","","","",49.6189,32.4579,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19011","19011","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Бобрицька сільська громада","","","","","",49.8657,31.3683,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19012","19012","","Київська область","Kiev Oblast","","Обухівський район","","Обухівська міська громада","","","","","",50.0589,30.6534,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19013","19013","","Київська область","Kiev Oblast","","Обухівський район","","Обухівська міська громада","","","","","",50.0589,30.6534,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19014","19014","","Житомирська область","Zhytomyr Oblast","","Новоград-Волинський район","","Барашівська сільська громада","","","","","",50.6922,28.1339,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19015","19015","","Київська область","Kiev Oblast","","Обухівський район","","Обухівська міська громада","","","","","",50.0589,30.6534,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19016","19016","","Київська область","Kiev Oblast","","Обухівський район","","Обухівська міська громада","","","","","",50.0589,30.6534,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19017","19017","","Київська область","Kiev Oblast","","Обухівський район","","Обухівська міська громада","","","","","",50.0589,30.6534,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19018","19018","","Київська область","Kiev Oblast","","Обухівський район","","Обухівська міська громада","","","","","",50.0589,30.6534,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19019","19019","","Київська область","Kiev Oblast","","Обухівський район","","Обухівська міська громада","","","","","",50.0589,30.6534,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19020","19020","","Полтавська область","Poltava Oblast","","Кременчуцький район","","Градизька селищна громада","","","","","",49.3568,32.9028,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19021","19021","","Полтавська область","Poltava Oblast","","Кременчуцький район","","Градизька селищна громада","","","","","",49.3568,32.9028,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19022","19022","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Ліплявська сільська громада","","","","","",49.753,31.5621,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19023","19023","","Донецька область","Donetsk Oblast","","Волноваський район","","Волноваська міська громада","","","","","",47.5274,37.6708,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19024","19024","","Полтавська область","Poltava Oblast","","Кременчуцький район","","Козельщинська селищна громада","","","","","",49.1077,33.9308,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19025","19025","","Черкаська область","Cherkasy Oblast","","Черкаський район","","Канівська міська громада","","","","","",49.7028,31.5525,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19026","19026","","Київська область","Kiev Oblast","","Бучанський район","","Дмитрівська сільська громада","","","","","",50.4912,30.0365,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19027","19027","","Черкаська область","Cherkasy Oblast","","Золотоніський район","","Чорнобаївська селищна громада","","","","","",49.5588,32.6643,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19028","19028","","Полтавська область","Poltava Oblast","","Кременчуцький район","","Градизька селищна громада","","","","","",49.3568,32.9028,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19029","19029","","Полтавська область","Poltava Oblast","","Кременчуцький район","","Градизька селищна громада","","","","","",49.3568,32.9028,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19030","19030","","Київська область","Kiev Oblast","","Обухівський район","","Ржищівська міська громада","","","","","",49.9049,30.9666,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19031","19031","","Київська область","Kiev Oblast","","Обухівський район","","Ржищівська міська громада","","","","","",49.9049,30.9666,"Europe/Simferopol","UTC+3.0"
"UA","UKR","Ukraine","Україна","EU","Europe","19032","19032","","Київська область","Kiev Oblast","","Обухівський район","","Ржищівська міська громада","","","","","",49.9049,30.9666,"Europe/Simferopol","UTC+3.0"
