"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"UY","URY","Uruguay","Uruguay","SA","South America","55000","55000","","ARTIGAS","ARTIGAS","UY-AR","BALTASAR BRUM","BALTASAR BRUM","","","","","","",-30.5696471,-56.825717,"America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55100","55100","","ARTIGAS","ARTIGAS","UY-AR","BELLA UNION","BELLA UNION","","","","","","",-30.456453,-57.516442,"America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55000","55000","","ARTIGAS","ARTIGAS","UY-AR","BERNABE RIVERA","BERNABE RIVERA","","","","","","","","","America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55100","55100","","ARTIGAS","ARTIGAS","UY-AR","CAINSA","CAINSA","","","","","","",-30.456453,-57.516442,"America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55100","55100","","ARTIGAS","ARTIGAS","UY-AR","CAINZA CAMPO 3","CAINZA CAMPO 3","","","","","","",-30.4045928,-57.619641,"America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55100","55100","","ARTIGAS","ARTIGAS","UY-AR","CALNU","CALNU","","","","","","",-30.456453,-57.516442,"America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55000","55000","","ARTIGAS","ARTIGAS","UY-AR","CAMAÑO","CAMAÑO","","","","","","",-30.4021986,-56.4769259,"America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55000","55000","","ARTIGAS","ARTIGAS","UY-AR","CATALAN GRANDE","CATALAN GRANDE","","","","","","",-30.405115,-56.4658701,"America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55000","55000","","ARTIGAS","ARTIGAS","UY-AR","CATALAN VOLCAN","CATALAN VOLCAN","","","","","","",-30.405115,-56.4658701,"America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55000","55000","","ARTIGAS","ARTIGAS","UY-AR","CERRITO","CERRITO","","","","","","",-30.5696471,-56.825717,"America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55000","55000","","ARTIGAS","ARTIGAS","UY-AR","CERRO EJIDO","CERRO EJIDO","","","","","","","","","America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55000","55000","","ARTIGAS","ARTIGAS","UY-AR","CERRO SAN EUGENIO","CERRO SAN EUGENIO","","","","","","","","","America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55000","55000","","ARTIGAS","ARTIGAS","UY-AR","CERRO SIGNORELLI","CERRO SIGNORELLI","","","","","","","","","America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55000","55000","","ARTIGAS","ARTIGAS","UY-AR","CHIFLERO","CHIFLERO","","","","","","",-30.5696471,-56.825717,"America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55100","55100","","ARTIGAS","ARTIGAS","UY-AR","COLONIA ESPAÑA","COLONIA ESPAÑA","","","","","","",-30.4764938,-57.5954631,"America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55100","55100","","ARTIGAS","ARTIGAS","UY-AR","COLONIA ESTRELLA","COLONIA ESTRELLA","","","","","","",-30.4764938,-57.5954631,"America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55000","55000","","ARTIGAS","ARTIGAS","UY-AR","COLONIA JOSE ARTIGAS","COLONIA JOSE ARTIGAS","","","","","","","","","America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55100","55100","","ARTIGAS","ARTIGAS","UY-AR","COLONIA PALMA","COLONIA PALMA","","","","","","",-30.4764938,-57.5954631,"America/Montevideo","UTC-3.0"
"UY","URY","Uruguay","Uruguay","SA","South America","55000","55000","","ARTIGAS","ARTIGAS","UY-AR","COLONIA PINTADO","COLONIA PINTADO","","","","","","","","","America/Montevideo","UTC-3.0"
