"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"UZ","UZB","Uzbekistan ","Oʻzbekiston ","AS","Asia","170905","170905","Andijan - Oqtom post office","Андижанская область","Andijan province","","Ок олтин","Ok oltin","Ок том","Ok tom","","","","",40.7685941,72.236379,"Asia/Samarkand","UTC+05:00"
"UZ","UZB","Uzbekistan ","Oʻzbekiston ","AS","Asia","190512","190512","Surkhandarya - Katta Qarshi post office","Сурхандарьинская область","Surxondaryo province","","Денов","Denov","Катта-карши","Katta-karshi","","","","",38.2764328,67.8927472,"Asia/Samarkand","UTC+05:00"
"UZ","UZB","Uzbekistan ","Oʻzbekiston ","AS","Asia","140129","140129","Samarkand - 29 post office","Самаркандская область","Samarqand province","","Самарканд","Samarkand","Самарканд","Samarkand","","","","",39.6507963,66.9653502,"Asia/Samarkand","UTC+05:00"
"UZ","UZB","Uzbekistan ","Oʻzbekiston ","AS","Asia","200705","200705","Bukhara - 5 post office","Бухарская область","Bukhara province","","г. Когон","Kogon","Когон","Kogon","","","","",39.7250066,64.5455218,"Asia/Samarkand","UTC+05:00"
"UZ","UZB","Uzbekistan ","Oʻzbekiston ","AS","Asia","210702","210702","Navoi - Nurota 2 post office","Навоийская область","Navoiy province","","Нурота","Nurota","Нурота","Nurota","","","","",40.5648975,65.6931944,"Asia/Samarkand","UTC+05:00"
"UZ","UZB","Uzbekistan ","Oʻzbekiston ","AS","Asia","170119","170119","Andijan - 19 post office","Андижанская область","Andijan province","","Андижан","Andijan","Андижан","Andijan","","","","",40.8153561,72.28375,"Asia/Samarkand","UTC+05:00"
"UZ","UZB","Uzbekistan ","Oʻzbekiston ","AS","Asia","140207","140207","Samarkand - Qorakamar post office","Самаркандская область","Samarqand province","","Булунгур","Bulungur","Каракамар","Karakamar","","","","",39.7584047,67.2747619,"Asia/Samarkand","UTC+05:00"
"UZ","UZB","Uzbekistan ","Oʻzbekiston ","AS","Asia","100175","100175","Tashkent - 175 post office","Ташкент","Tashkent city","","","","Ташкент","Tashkent","","","","",41.2994958,69.2400734,"Asia/Samarkand","UTC+05:00"
"UZ","UZB","Uzbekistan ","Oʻzbekiston ","AS","Asia","150506","150506","Fergana - Jilva post office","Ферганская область","Fergana province","","Дангара","Dangara","Жилва","Jilva","","","","",40.5781561,70.9160408,"Asia/Samarkand","UTC+05:00"
"UZ","UZB","Uzbekistan ","Oʻzbekiston ","AS","Asia","230610","230610","Karakalpakstan - Ko'kdarya post office","Республика Каракалпакстан","Karakalpakstan republic","","Кунград","Kungrad","Кок-дарья","Kok-darya","","","","",43.0630147,58.858679,"Asia/Samarkand","UTC+05:00"
