"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"VN","VNM","Vietnam","Việt Nam","AS","Asia","01106","01106","","Quảng Ninh","Quang Ninh","VN-13","Hạ Long","Ha Long","Hồng Gai","Hong Gai","","","","",20.952084,107.074106,"Asia/Ho_Chi_Minh","UTC+07:00"
"VN","VNM","Vietnam","Việt Nam","AS","Asia","01107","01107","","Quảng Ninh","Quang Ninh","VN-13","Hạ Long","Ha Long","Trần Hưng Đạo","Tran Hung Dao","","","","",20.9552047,107.0835614,"Asia/Ho_Chi_Minh","UTC+07:00"
"VN","VNM","Vietnam","Việt Nam","AS","Asia","01108","01108","","Quảng Ninh","Quang Ninh","VN-13","Hạ Long","Ha Long","Bạch Đằng","Bach Dang","","","","",20.951611,107.088799,"Asia/Ho_Chi_Minh","UTC+07:00"
"VN","VNM","Vietnam","Việt Nam","AS","Asia","01109","01109","","Quảng Ninh","Quang Ninh","VN-13","Hạ Long","Ha Long","Cao Thắng","Cao Thang","","","","",20.967632,107.096186,"Asia/Ho_Chi_Minh","UTC+07:00"
"VN","VNM","Vietnam","Việt Nam","AS","Asia","01110","01110","","Quảng Ninh","Quang Ninh","VN-13","Hạ Long","Ha Long","Hồng Hải","Hong Hai","","","","",20.949811,107.1083411,"Asia/Ho_Chi_Minh","UTC+07:00"
"VN","VNM","Vietnam","Việt Nam","AS","Asia","01111","01111","","Quảng Ninh","Quang Ninh","VN-13","Hạ Long","Ha Long","Hà Lầm","Ha Lam","","","","",20.9742759,107.1155849,"Asia/Ho_Chi_Minh","UTC+07:00"
"VN","VNM","Vietnam","Việt Nam","AS","Asia","01112","01112","","Quảng Ninh","Quang Ninh","VN-13","Hạ Long","Ha Long","Hà Trung","Ha Trung","","","","",20.9607855,107.1258243,"Asia/Ho_Chi_Minh","UTC+07:00"
"VN","VNM","Vietnam","Việt Nam","AS","Asia","01113","01113","","Quảng Ninh","Quang Ninh","VN-13","Hạ Long","Ha Long","Hồng Hà","Hong Ha","","","","",20.945392,107.125926,"Asia/Ho_Chi_Minh","UTC+07:00"
"VN","VNM","Vietnam","Việt Nam","AS","Asia","01114","01114","","Quảng Ninh","Quang Ninh","VN-13","Hạ Long","Ha Long","Hà Tu","Ha Tu","","","","",20.95388,107.148657,"Asia/Ho_Chi_Minh","UTC+07:00"
"VN","VNM","Vietnam","Việt Nam","AS","Asia","01115","01115","","Quảng Ninh","Quang Ninh","VN-13","Hạ Long","Ha Long","Hà Phong","Ha Phong","","","","",20.945623,107.169569,"Asia/Ho_Chi_Minh","UTC+07:00"
