"country_iso2","country_iso3","country_en","country_lc","continent_code","continent_name","postal_code","postal_code_norm","place_name","region_1_lc","region_1_en","region_1_iso_code","region_2_lc","region_2_en","region_3_lc","region_3_en","region_4_lc","region_4_en","region_5_lc","region_5_en","latitude","longitude","timezone","utc_offset"
"ZA","ZAF","South Africa","IRiphabliki yaseNingizimu Afrika","AF","Africa","0560","0560","","Limpopo","Limpopo","ZA-LP","","MOOKGOPHONG","","MOOKGOPHONG","","","","","","","Africa/Johannesburg","UTC+02:00  "
"ZA","ZAF","South Africa","IRiphabliki yaseNingizimu Afrika","AF","Africa","1206","1206","","Mpumalanga","Mpumalanga","ZA-MP","","NELSPRUIT","","SONPARK","","","","","","","Africa/Johannesburg","UTC+02:00  "
"ZA","ZAF","South Africa","IRiphabliki yaseNingizimu Afrika","AF","Africa","1724","1724","","Gauteng","Gauteng","ZA-GP","","ROODEPOORT","GROBLERSPARK UIT 38","GROBLERSPARK EXT 38","","","","","","","Africa/Johannesburg","UTC+02:00  "
"ZA","ZAF","South Africa","IRiphabliki yaseNingizimu Afrika","AF","Africa","2309","2309","","Mpumalanga","Mpumalanga","ZA-MP","","BETHAL","BETHAL UIT 1","BETHAL EXT 1","","","","","","","Africa/Johannesburg","UTC+02:00  "
"ZA","ZAF","South Africa","IRiphabliki yaseNingizimu Afrika","AF","Africa","4068","4068","","Kwazulu-Natal","KwaZulu-Natal","ZA-KZN","","MOUNT EDGECOMBE","","BROADLANDS","","","","","","","Africa/Johannesburg","UTC+02:00  "
"ZA","ZAF","South Africa","IRiphabliki yaseNingizimu Afrika","AF","Africa","2531","2531","","North-West","North West","ZA-NW","","POTCHEFSTROOM","SARAFINA UIT 3","SARAFINA EXT 3","","","","","","","Africa/Johannesburg","UTC+02:00  "
"ZA","ZAF","South Africa","IRiphabliki yaseNingizimu Afrika","AF","Africa","2515","2515","","North-West","North West","ZA-NW","","FOCHVILLE","FOCHVILLE UIT 3","FOCHVILLE EXT 3","","","","","","","Africa/Johannesburg","UTC+02:00  "
"ZA","ZAF","South Africa","IRiphabliki yaseNingizimu Afrika","AF","Africa","2515","2515","","North-West","North West","ZA-NW","","FOCHVILLE","FOCHVILLE UIT 4","FOCHVILLE EXT 4","","","","","","","Africa/Johannesburg","UTC+02:00  "
"ZA","ZAF","South Africa","IRiphabliki yaseNingizimu Afrika","AF","Africa","2351","2351","","Mpumalanga","Mpumalanga","ZA-MP","","ERMELO","WESSELTON UIT 3","WESSELTON EXT 3","","","","","","","Africa/Johannesburg","UTC+02:00  "
"ZA","ZAF","South Africa","IRiphabliki yaseNingizimu Afrika","AF","Africa","2351","2351","","Mpumalanga","Mpumalanga","ZA-MP","","ERMELO","WESSELTON UIT 6","WESSELTON EXT 6","","","","","","","Africa/Johannesburg","UTC+02:00  "
